Reading Date,Rainfall (in.),
11/24/2009,0.00,
11/25/2009,0.23,
11/26/2009,0.04,
11/27/2009,0.01,
11/28/2009,0.00,
11/29/2009,0.11,
11/30/2009,0.00,
12/01/2009,0.00,
12/02/2009,0.54,
12/03/2009,0.06,
12/04/2009,0.00,
12/05/2009,0.00,
12/06/2009,0.00,
12/07/2009,0.00,
12/08/2009,0.19,
12/09/2009,0.34,
12/10/2009,0.00,
12/11/2009,0.00,
12/12/2009,0.00,
12/13/2009,0.33,
12/14/2009,0.01,
12/15/2009,0.00,
12/16/2009,0.00,
12/17/2009,0.00,
12/18/2009,0.00,
12/19/2009,0.03,
12/20/2009,0.00,
12/21/2009,0.00,
12/22/2009,0.00,
12/23/2009,0.00,
12/24/2009,0.00,
12/25/2009,0.80,
12/26/2009,0.00,
12/27/2009,0.00,
12/28/2009,0.01,
12/29/2009,0.00,
12/30/2009,0.00,
12/31/2009,0.00,
01/01/2010,0.00,
01/02/2010,0.00,
01/03/2010,0.00,
01/04/2010,0.00,
01/05/2010,0.00,
01/06/2010,0.00,
01/07/2010,0.19,
01/08/2010,0.01,
01/09/2010,0.00,
01/10/2010,0.00,
01/11/2010,0.00,
01/12/2010,0.00,
01/13/2010,0.00,
01/14/2010,0.00,
01/15/2010,0.00,
01/16/2010,0.00,
01/17/2010,0.00,
01/18/2010,0.00,
01/19/2010,0.00,
01/20/2010,0.00,
01/21/2010,0.00,
01/22/2010,0.00,
01/23/2010,0.00,
01/24/2010,0.19,
01/25/2010,0.04,
01/26/2010,0.00,
01/27/2010,0.00,
01/28/2010,0.00,
01/29/2010,0.00,
01/30/2010,0.00,
01/31/2010,0.00,
02/01/2010,0.00,
02/02/2010,0.01,
02/03/2010,0.00,
02/04/2010,0.00,
02/05/2010,0.00,
02/06/2010,0.00,
02/07/2010,0.00,
02/08/2010,0.00,
02/09/2010,0.14,
02/10/2010,0.02,
02/11/2010,0.00,
02/12/2010,0.00,
02/13/2010,0.00,
02/14/2010,0.00,
02/15/2010,0.00,
02/16/2010,0.00,
02/17/2010,0.00,
02/18/2010,0.00,
02/19/2010,0.00,
02/20/2010,0.00,
02/21/2010,0.05,
02/22/2010,0.42,
02/23/2010,0.00,
02/24/2010,0.15,
02/25/2010,0.00,
02/26/2010,0.00,
02/27/2010,0.00,
02/28/2010,0.00,
03/01/2010,0.00,
03/02/2010,0.00,
03/03/2010,0.00,
03/04/2010,0.00,
03/05/2010,0.00,
03/06/2010,0.00,
03/07/2010,0.00,
03/08/2010,0.00,
03/09/2010,0.00,
03/10/2010,0.00,
03/11/2010,0.29,
03/12/2010,0.14,
03/13/2010,0.23,
03/14/2010,0.01,
03/15/2010,0.00,
03/16/2010,0.00,
03/17/2010,0.00,
03/18/2010,0.00,
03/19/2010,0.00,
03/20/2010,0.00,
03/21/2010,0.00,
03/22/2010,0.07,
03/23/2010,0.00,
03/24/2010,0.00,
03/25/2010,0.05,
03/26/2010,0.00,
03/27/2010,0.00,
03/28/2010,0.37,
03/29/2010,0.00,
03/30/2010,0.00,
03/31/2010,0.00,
04/01/2010,0.00,
04/02/2010,0.00,
04/03/2010,0.01,
04/04/2010,0.00,
04/05/2010,0.05,
04/06/2010,0.15,
04/07/2010,0.40,
04/08/2010,0.05,
04/09/2010,0.00,
04/10/2010,0.00,
04/11/2010,0.00,
04/12/2010,0.00,
04/13/2010,0.18,
04/14/2010,0.00,
04/15/2010,0.00,
04/16/2010,0.00,
04/17/2010,0.00,
04/18/2010,0.00,
04/19/2010,0.00,
04/20/2010,0.00,
04/21/2010,0.00,
04/22/2010,0.00,
04/23/2010,0.00,
04/24/2010,0.43,
04/25/2010,0.43,
04/26/2010,0.13,
04/27/2010,0.00,
04/28/2010,0.00,
04/29/2010,0.01,
04/30/2010,0.00,
05/01/2010,0.42,
05/02/2010,1.04,
05/03/2010,0.07,
05/04/2010,0.01,
05/05/2010,0.00,
05/06/2010,0.00,
05/07/2010,1.08,
05/08/2010,0.08,
05/09/2010,0.00,
05/10/2010,0.00,
05/11/2010,1.01,
05/12/2010,0.00,
05/13/2010,0.64,
05/14/2010,0.00,
05/15/2010,0.00,
05/16/2010,0.00,
05/17/2010,0.20,
05/18/2010,0.12,
05/19/2010,0.00,
